City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,84.18,few clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort Hotel
4,Atuona,PF,76.98,few clouds,-9.8,-139.03,Villa Enata
8,Port Blair,IN,81.46,overcast clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
26,Georgetown,MY,83.89,few clouds,5.41,100.34,Cititel Penang
29,Magnolia,US,79.88,broken clouds,33.27,-93.24,Budget Inn
35,Missoula,US,88.84,scattered clouds,47.02,-113.8,Gold Creek Cabin
39,Katsuura,JP,83.32,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
41,Matara,LK,76.57,overcast clouds,5.95,80.54,Amaloh Boutique Resort
46,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
48,Bathsheba,BB,81.21,few clouds,13.22,-59.52,Atlantis Hotel
49,Kalmunai,LK,78.21,overcast clouds,7.42,81.82,VS Villa
55,Bethel,US,79.34,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
57,Butaritari,KI,82.02,broken clouds,3.07,172.79,Isles Sunset Lodge
62,Thompson,CA,77.16,broken clouds,55.74,-97.86,Burntwood Hotel
65,Avarua,CK,78.85,broken clouds,-21.21,-159.78,Paradise Inn
71,Nata,PA,75.29,overcast clouds,8.33,-80.52,Rey David
77,Tautira,PF,77.63,light rain,-17.73,-149.15,Pension Oaoa
82,Santa Isabel Do Rio Negro,BR,78.6,broken clouds,-0.41,-65.02,Hotel GSA
86,Sinnamary,GF,79.21,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
89,Eyl,SO,77.52,overcast clouds,7.98,49.82,DAAWAD HOTEL EYL
90,Vung Tau,VN,79.59,overcast clouds,10.35,107.08,Seaside Resort
92,Victoria,HK,82.38,overcast clouds,22.29,114.16,Mini Central
95,Bais,PH,82.38,scattered clouds,9.59,123.12,La Planta Hotel (Bais City)
99,The Valley,AI,82.26,broken clouds,18.22,-63.06,CeBlue Villas & Beach Resort
103,Zaranj,AF,80.53,scattered clouds,30.97,61.88,Mi coraźon
109,Mayo,US,84.94,clear sky,38.89,-76.51,Resorts Resource Group International
111,Harqalah,TN,80.46,scattered clouds,36.03,10.51,Dar Khadija
113,Watertown,US,77.88,clear sky,42.37,-71.18,Residence Inn by Marriott Boston Watertown
114,Lorengau,PG,81.84,light rain,-2.02,147.27,Lorengau Harbourside Hotel
118,Bengkulu,ID,76.19,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
121,Puerto Escondido,MX,79.63,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
125,Coro,VE,81.03,overcast clouds,11.4,-69.67,Federal
126,Teknaf,BD,78.13,light rain,20.86,92.31,Shilbania para
128,Brokopondo,SR,79.2,broken clouds,4.75,-55.17,Matu Island
129,Sao Filipe,CV,78.49,scattered clouds,14.9,-24.5,Hotel Xaguate
130,Hambantota,LK,78.71,overcast clouds,6.12,81.12,Bungalow 63
134,Praia,CV,79.34,few clouds,14.92,-23.51,LT Aparthotel
135,Razole,IN,77.58,overcast clouds,16.48,81.83,Sterling Palavelli Godavari
137,Dingle,PH,80.55,overcast clouds,11.0,122.67,SEGAYA PROPERTY
139,Ishinomaki,JP,86.0,overcast clouds,38.42,141.3,Hotel Route Inn Ishinomaki Kanan Inter
141,Anage,BR,77.14,few clouds,-14.61,-41.14,Morada feliz
142,Scituate,US,76.32,clear sky,42.2,-70.73,The Inn at Scituate Harbor
144,Kimbe,PG,76.68,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
152,Port Antonio,JM,85.91,clear sky,18.18,-76.46,The Trident Hotel
153,Catuday,PH,80.53,overcast clouds,16.29,119.81,Benjie's Kubo & Cottages
154,San Cristobal,VE,77.18,overcast clouds,7.77,-72.22,Pirineos
161,Mecca,SA,86.25,light rain,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
165,Hithadhoo,MV,81.73,clear sky,-0.6,73.08,Scoop Guest House
172,Dakar,SN,81.48,overcast clouds,14.69,-17.44,Novotel Dakar
179,Mahon,ES,79.36,clear sky,39.89,4.27,ARTIEM Capri
180,Novyy Svit,UA,80.73,moderate rain,47.81,38.02,Энергетик
186,Fort Walton Beach,US,79.99,broken clouds,30.41,-86.62,Best Western Ft. Walton Beachfront
189,Praxedis Guerrero,MX,80.06,scattered clouds,31.37,-106.02,Congregación placitas de Otero
191,Sabaudia,IT,76.89,scattered clouds,41.3,13.03,Oasi di Kufra
194,Tezu,IN,79.45,broken clouds,27.92,96.17,Circuit House
200,Salalah,OM,77.09,light intensity drizzle,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
202,Pringsewu,ID,75.36,scattered clouds,-5.36,104.97,Urban Style by Front One
203,Davidson,US,84.92,scattered clouds,36.15,-86.78,Best Western Plus Music Row
204,Brigantine,US,80.04,clear sky,39.41,-74.36,Legacy Vacation Resorts - Brigantine Beach
211,Safaga,EG,89.49,clear sky,26.73,33.94,Lamar Resort Abu Soma
213,Ambunti,PG,79.27,broken clouds,-4.24,142.84,AMBUNTI HIDE INN
216,Hamilton,US,80.04,mist,39.18,-84.53,Six Acres Bed & Breakfast
217,Tagusao,PH,81.86,broken clouds,9.19,117.81,Caycay future beach resort
221,Tondano,ID,77.09,scattered clouds,1.3,124.91,Villa Bella
223,Hobyo,SO,75.94,broken clouds,5.35,48.53,Halane Hotel and Restaurent
232,Acarau,BR,77.27,broken clouds,-2.89,-40.12,castelo pizzaria
240,Sulangan,PH,82.9,overcast clouds,11.14,123.72,Maia's Beach Resort
244,Kitakata,JP,79.34,overcast clouds,37.65,139.87,いろり古民家の宿 志ぐれ亭
245,Itarema,BR,77.14,broken clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
248,Alofi,NU,80.49,scattered clouds,-19.06,-169.92,Taloa Heights
251,Filadelfia,US,86.02,clear sky,39.95,-75.16,Loews Philadelphia Hotel
254,Hopelchen,MX,85.26,broken clouds,19.77,-89.85,Hotel Jaguar
258,Saint George,US,86.59,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
262,Boa Vista,BR,80.58,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
263,Manzanillo,CU,81.21,broken clouds,20.34,-77.12,Adrian & Tonia
280,Boyolangu,ID,76.35,overcast clouds,-8.12,111.89,Yos ega cv
294,Misratah,LY,80.6,clear sky,32.38,15.09,Almasa Hotel
300,Morehead,US,79.95,clear sky,37.27,-87.18,CCI Express Inn
301,Manadhoo,MV,81.23,broken clouds,5.77,73.38,Bon Abri maldives
309,Romano Di Lombardia,IT,78.15,scattered clouds,45.52,9.75,Hotel La Conchiglia
311,Tarrafal,CV,79.59,broken clouds,15.28,-23.77,Hotel Ixola
312,Lompoc,US,78.94,clear sky,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
314,Oussouye,SN,82.49,overcast clouds,12.48,-16.55,Auberge du Routard
315,Ca Mau,VN,79.18,broken clouds,9.18,105.15,Mường Thanh Luxury Cà Mau Hotel
320,Jibuti,DJ,81.86,broken clouds,11.5,42.5,Orchid Main Camp Goubet
323,Qui Nhon,VN,80.38,broken clouds,13.77,109.23,Seagull Hotel
326,Bud,US,76.91,scattered clouds,39.45,-86.18,Ted McQuinn Trust
327,Shangrao,CN,87.66,overcast clouds,28.45,117.97,Boyue boutique Hotel
329,Port Lavaca,US,89.65,clear sky,28.61,-96.63,Holiday Inn Express & Suites Port Lavaca
330,Dogondoutchi,NE,76.33,overcast clouds,13.64,4.03,Hôtel Alheri Maison Alheri
333,Kudahuvadhoo,MV,81.12,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
335,Lexington,US,80.94,few clouds,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
338,Sibolga,ID,75.54,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
341,Vanimo,PG,84.0,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
347,Hit,IQ,88.12,clear sky,33.64,42.83,حاتم
351,Kavieng,PG,82.33,light rain,-2.57,150.8,Nusa Island Retreat
352,Bambanglipuro,ID,76.93,broken clouds,-7.95,110.28,Puri Brata
353,Umm Lajj,SA,87.6,overcast clouds,25.02,37.27,Moon light Furnished Units
354,Qinzhou,CN,77.72,broken clouds,21.95,108.62,Jinjiang Inn Style Qingzhou Walmart
356,Ambulu,ID,76.6,broken clouds,-8.35,113.61,Hotel Ambulu Jember
359,San Quintin,MX,75.79,overcast clouds,30.48,-115.95,Don Eddie's / Hotel - Restaurant
360,Zabid,YE,79.93,overcast clouds,14.2,43.32,مغرب التريبه
363,Pacific Grove,US,79.45,clear sky,36.62,-121.92,Lovers Point Inn
364,Gizo,SB,83.14,overcast clouds,-8.1,156.84,Imagination Island
366,Siva,EG,79.97,clear sky,29.2,25.52,Qasr Alzaytuna Inn
367,Kieta,PG,84.09,overcast clouds,-6.22,155.63,Uruna Bay Retreat
368,Islamkot,PK,83.52,light rain,24.7,70.18,Ghazi Guest House
369,Tateyama,JP,86.09,scattered clouds,34.98,139.87,Tateyama Seaside Hotel
371,Gat,IL,77.68,clear sky,31.61,34.76,OlusHome
374,Tefe,BR,80.26,broken clouds,-3.35,-64.71,Aracati Hotel
376,Cayenne,GF,82.09,clear sky,4.93,-52.33,Hôtel Le Dronmi
379,Bonthe,SL,75.74,moderate rain,7.53,-12.51,Bonthe Holiday Village
381,Sarangani,PH,82.69,few clouds,5.4,125.46,JVL Inn and Cafeteria
384,Manggar,ID,82.04,overcast clouds,-2.88,108.27,Guest Hotel
386,Praya,CV,79.34,few clouds,14.92,-23.51,LT Aparthotel
389,La Romana,DO,79.16,broken clouds,18.43,-68.97,Casa de Campo Resort and Villas
391,Anaconda,US,88.79,broken clouds,46.13,-112.94,Trade Wind Motel
392,Hasaki,JP,88.29,few clouds,35.73,140.83,Inubosaki Kanko Hotel
396,Buguda,IN,77.54,overcast clouds,19.82,84.8,Biradhanajya pur
397,Nishihara,JP,87.08,few clouds,26.18,127.76,Minshuku Agaihama
400,Marshall,US,82.38,scattered clouds,34.38,-86.33,Lake Guntersville Bed & Breakfast
401,Ewa Beach,US,87.75,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
402,Puerto Madero,MX,86.2,broken clouds,14.72,-92.42,Hotel El Navegante
405,Yen Bai,VN,76.5,overcast clouds,21.7,104.87,AK MOTEL
415,Sur,OM,89.56,overcast clouds,22.57,59.53,Sur Plaza Hotel
417,Touros,BR,75.06,scattered clouds,-5.2,-35.46,INN NEW HORIZON
418,Olinda,BR,78.53,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
421,Auki,SB,83.52,overcast clouds,-8.77,160.7,Auki Motel
427,Cairns,AU,79.07,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
432,Labuhan,ID,78.82,overcast clouds,-6.88,112.21,DoubleFAG
433,Oyama,JP,85.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
435,Naze,JP,83.32,overcast clouds,28.37,129.48,Shishime Hotel
437,Pochutla,MX,78.62,overcast clouds,15.74,-96.47,Hotel Posada San Jose
440,Meulaboh,ID,76.6,overcast clouds,4.14,96.13,Kost Pria
443,Marakkanam,IN,83.23,overcast clouds,12.2,79.95,Samvasa by the Sea
445,Faanui,PF,78.94,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
448,Awjilah,LY,82.36,clear sky,29.11,21.29,المنزل
449,Palmer,US,78.42,few clouds,42.16,-72.33,Wedgewood Motel
451,Kampong Chhnang,KH,76.26,overcast clouds,12.17,104.55,ផ្ទះសំណាក់ហេងស្រស់
456,Kununurra,AU,76.98,clear sky,-15.77,128.73,Hotel Kununurra
457,Calolziocorte,IT,76.96,overcast clouds,45.8,9.44,Osteria Marascia
463,Tortoli,IT,75.02,clear sky,39.93,9.66,Hotel La Bitta
466,Kelsterbach,DE,75.56,clear sky,50.07,8.53,NH Hotel Frankfurt Flughafen
467,Najran,SA,85.69,overcast clouds,17.49,44.13,محمد هادي ال فطيح
468,Minatitlan,MX,78.89,broken clouds,17.98,-94.52,Grand Regency Express
469,Nieuw Nickerie,SR,80.13,scattered clouds,5.95,-56.98,Ishwardat Inn
473,Road Town,VG,84.29,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
474,Sungai Besar,MY,78.21,broken clouds,3.67,100.99,NIDA Rooms Sabak Bernam Comfort
475,Itoman,JP,86.77,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
476,Buala,SB,82.54,light rain,-8.14,159.59,Maringe Lagoon Lodge
483,South Lake Tahoe,US,84.79,clear sky,38.93,-119.98,Tahoe Lakeshore Lodge & Spa
487,Harlingen,US,89.55,clear sky,26.19,-97.7,Courtyard by Marriott Harlingen
494,Kayankulam,IN,77.97,broken clouds,9.18,76.5,Hotel Indraprastha
496,Ardesen,TR,76.08,broken clouds,41.19,40.99,Green Suada Hotel
497,Trairi,BR,76.73,broken clouds,-3.28,-39.27,janelas do mar
500,Saveh,IR,82.29,clear sky,35.02,50.36,Sadra
505,Celestun,MX,82.15,scattered clouds,20.87,-90.4,Posada Lilia
506,Iwanai,JP,78.4,broken clouds,42.97,140.51,いわない高原ホテル
510,Kanigoro,ID,75.34,broken clouds,-8.13,112.22,Musafer Villa ( Villa Erlin )
514,Awbari,LY,83.1,clear sky,26.59,12.78,فندق أوباري
519,Cockburn Town,TC,82.24,clear sky,21.46,-71.14,Osprey Beach Hotel
523,Pitimbu,BR,75.79,scattered clouds,-7.47,-34.81,Reserva do Abiaí
524,White Rock,CA,83.95,clear sky,49.02,-122.8,Best Western Peace Arch Inn
525,Iquitos,PE,75.24,overcast clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
529,Pout,SN,81.36,few clouds,14.77,-17.06,chez sada niang
543,Ibra,OM,88.57,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
546,Fukue,JP,86.36,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
551,Half Moon Bay,US,82.06,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
552,Hirara,JP,84.79,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
556,Puerto Colombia,CO,82.49,overcast clouds,10.99,-74.95,Hotel El Emigrante
559,Xucheng,CN,79.66,overcast clouds,20.35,110.13,Haixing Hotel
564,West Wendover,US,87.01,clear sky,40.74,-114.07,"Motel 6 Wendover, UT"
567,Samarai,PG,78.4,overcast clouds,-10.62,150.67,Nuli Sapi
572,Marsa Matruh,EG,77.14,clear sky,31.35,27.25,Beau Site
576,Kutum,SD,76.64,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
581,Yecuatla,MX,77.85,broken clouds,19.87,-96.75,La Esperanza Yecuatla Veracruz
583,Hitoyoshi,JP,84.02,light rain,32.22,130.75,Ryokan Ayu-no-Sato
590,Along,IN,76.78,broken clouds,28.17,94.77,Hotel West
597,Saint-Georges,GD,82.08,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
598,Dingtao,CN,82.96,broken clouds,35.07,115.56,VX Heze Dingtao District Taoyi Road Hotel
606,Richmond,US,79.14,clear sky,37.55,-77.46,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
609,Massaguet,TD,79.5,broken clouds,12.48,15.44,Alwatane
610,Bairiki,KI,81.3,overcast clouds,1.33,172.98,Tarawa Boutique Hotel
612,Luang Prabang,LA,75.16,overcast clouds,19.89,102.13,The Apsara
619,Russellville,US,87.98,clear sky,35.28,-93.13,Hampton Inn Russellville
620,Maasin,PH,85.96,broken clouds,10.13,124.84,michaelsresortanddive
621,Srivardhan,IN,79.47,broken clouds,18.03,73.02,Savli Resort/Hotel - Shrivardhan
631,La Ronge,CA,84.42,few clouds,55.1,-105.28,Northland Motor Hotel
633,Kanniyakumari,IN,78.98,broken clouds,8.08,77.57,Sparsa Kanyakumari
637,Guerrero Negro,MX,78.08,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
641,Jeremie,HT,81.36,few clouds,18.65,-74.12,Auberge’Inn
644,Kirakira,SB,81.5,heavy intensity rain,-10.45,161.92,SanBiz Lodge
646,Garlasco,IT,78.46,broken clouds,45.2,8.92,I Diamanti Hotel
647,Bima,ID,79.88,scattered clouds,-8.47,118.72,Lambitu Hotel
648,Tatawin,TN,78.3,clear sky,32.93,10.45,Sangho Privilege Tataouine
649,Amberley,US,78.75,overcast clouds,39.2,-84.43,Days Inn & Suites by Wyndham Cincinnati
651,Santa Rosa,PH,86.09,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
653,Padang,ID,75.25,broken clouds,-0.95,100.35,Mercure Padang
660,San Ramon,US,86.76,clear sky,37.78,-121.98,San Ramon Marriott
668,Isangel,VU,75.31,broken clouds,-19.55,169.27,Tanna Lodge
669,Bodden Town,KY,83.93,few clouds,19.28,-81.25,Will T Place
670,Pandan,PH,82.85,overcast clouds,14.05,124.17,Bonifacio Lodge
677,Le Vauclin,MQ,81.84,few clouds,14.55,-60.84,Hôtel Cap Macabou
679,Nador,MA,79.05,few clouds,35.17,-2.93,Hôtel La Giralda
